date,product,quantity,unit_price,revenue
2025-05-21,Laptop,1,1200,1200
2025-03-13,Monitor,2,350,700
2025-02-14,Laptop,5,1200,6000
2025-01-17,Headphones,4,150,600
2025-04-22,Laptop,1,1200,1200
2025-11-05,Monitor,5,350,1750
2025-04-12,Laptop,5,1200,6000
2025-04-23,Headphones,4,150,600
2025-05-23,Mouse,5,40,200
2025-12-24,Laptop,2,1200,2400
2025-05-23,Mouse,3,40,120
2025-06-22,Monitor,2,350,700
2025-07-14,Laptop,1,1200,1200
2025-06-26,Laptop,3,1200,3600
2025-01-23,Headphones,3,150,450
2025-03-05,Mouse,5,40,200
2025-10-10,Mouse,1,40,40
2025-07-05,Keyboard,5,80,400
2025-12-27,Headphones,2,150,300
2025-12-05,Laptop,1,1200,1200
2025-02-10,Monitor,3,350,1050
2025-07-14,Monitor,1,350,350
2025-11-22,Keyboard,4,80,320
2025-07-09,Keyboard,2,80,160
2025-12-10,Keyboard,2,80,160
2025-11-08,Keyboard,1,80,80
2025-05-06,Monitor,5,350,1750
2025-07-14,Monitor,4,350,1400
2025-04-23,Keyboard,5,80,400
2025-04-28,Keyboard,1,80,80
2025-07-25,Laptop,3,1200,3600
2025-04-19,Keyboard,1,80,80
2025-04-19,Headphones,3,150,450
2025-11-26,Mouse,4,40,160
2025-05-16,Mouse,2,40,80
2025-10-15,Monitor,2,350,700
2025-10-27,Headphones,3,150,450
2025-07-24,Mouse,5,40,200
2025-03-12,Keyboard,2,80,160
2025-02-16,Headphones,4,150,600
2025-03-20,Laptop,1,1200,1200
2025-11-02,Monitor,4,350,1400
2025-07-15,Laptop,4,1200,4800
2025-09-28,Headphones,4,150,600
2025-01-06,Keyboard,5,80,400
2025-05-17,Laptop,5,1200,6000
2025-05-31,Keyboard,1,80,80
2025-08-21,Mouse,2,40,80
2025-09-14,Laptop,3,1200,3600
2025-02-24,Monitor,5,350,1750
2025-11-08,Keyboard,5,80,400
2025-07-11,Monitor,2,350,700
2025-09-29,Monitor,5,350,1750
2025-06-15,Laptop,5,1200,6000
2025-02-27,Mouse,1,40,40
2025-05-03,Keyboard,3,80,240
2025-10-18,Laptop,2,1200,2400
2025-09-06,Laptop,1,1200,1200
2025-03-06,Laptop,5,1200,6000
2025-10-09,Monitor,4,350,1400
2025-09-28,Monitor,3,350,1050
2025-04-19,Headphones,4,150,600
2025-06-09,Headphones,2,150,300
2025-08-13,Mouse,3,40,120
2025-03-03,Headphones,4,150,600
2025-02-02,Monitor,2,350,700
2025-10-29,Keyboard,1,80,80
2025-10-29,Headphones,2,150,300
2025-02-06,Monitor,1,350,350
2025-02-04,Laptop,2,1200,2400
2025-02-06,Laptop,3,1200,3600
2025-05-23,Headphones,2,150,300
2025-10-04,Mouse,2,40,80
2025-10-23,Monitor,5,350,1750
2025-08-31,Mouse,2,40,80
2025-02-18,Mouse,2,40,80
2025-07-01,Laptop,4,1200,4800
2025-08-28,Mouse,4,40,160
2025-02-01,Laptop,1,1200,1200
2025-02-25,Mouse,3,40,120
2025-04-08,Monitor,2,350,700
2025-03-13,Headphones,4,150,600
2025-05-23,Mouse,2,40,80
2025-02-08,Mouse,2,40,80
2025-02-20,Mouse,5,40,200
2025-01-08,Laptop,5,1200,6000
2025-03-27,Laptop,2,1200,2400
2025-09-04,Mouse,4,40,160
2025-01-31,Monitor,4,350,1400
2025-01-02,Monitor,4,350,1400
2025-08-21,Mouse,3,40,120
2025-12-23,Keyboard,4,80,320
2025-03-21,Headphones,4,150,600
2025-04-22,Monitor,3,350,1050
2025-10-05,Laptop,5,1200,6000
2025-01-30,Laptop,3,1200,3600
2025-09-02,Laptop,5,1200,6000
2025-03-22,Headphones,5,150,750
2025-02-11,Laptop,5,1200,6000
2025-11-01,Monitor,1,350,350
2025-07-26,Laptop,2,1200,2400
2025-05-07,Laptop,5,1200,6000
2025-01-21,Headphones,5,150,750
2025-08-03,Headphones,1,150,150
2025-09-25,Headphones,5,150,750
2025-04-15,Keyboard,3,80,240
2025-05-16,Keyboard,2,80,160
2025-12-10,Mouse,2,40,80
2025-06-11,Keyboard,4,80,320
2025-08-23,Laptop,1,1200,1200
2025-02-21,Headphones,5,150,750
2025-04-20,Laptop,5,1200,6000
2025-03-09,Headphones,3,150,450
2025-05-06,Keyboard,1,80,80
2025-03-22,Keyboard,3,80,240
2025-12-27,Mouse,5,40,200
2025-12-01,Keyboard,5,80,400
2025-12-08,Headphones,1,150,150
2025-12-06,Headphones,3,150,450
2025-05-16,Laptop,2,1200,2400
2025-10-11,Laptop,1,1200,1200
2025-05-25,Monitor,3,350,1050
2025-06-25,Headphones,2,150,300
2025-09-16,Monitor,3,350,1050
2025-01-27,Mouse,3,40,120
2025-05-22,Laptop,4,1200,4800
2025-06-20,Laptop,1,1200,1200
2025-03-24,Monitor,3,350,1050
2025-12-28,Mouse,5,40,200
2025-01-05,Mouse,5,40,200
2025-12-20,Laptop,1,1200,1200
2025-01-19,Monitor,5,350,1750
2025-10-10,Keyboard,5,80,400
2025-03-07,Monitor,4,350,1400
2025-07-06,Laptop,3,1200,3600
2025-04-18,Laptop,3,1200,3600
2025-07-01,Monitor,1,350,350
2025-11-14,Headphones,4,150,600
2025-03-25,Monitor,2,350,700
2025-01-13,Monitor,4,350,1400
2025-07-30,Monitor,3,350,1050
2025-03-23,Monitor,3,350,1050
2025-01-20,Laptop,4,1200,4800
2025-04-13,Mouse,2,40,80
2025-06-06,Mouse,3,40,120
2025-01-13,Monitor,2,350,700
2025-06-18,Monitor,4,350,1400
2025-05-23,Keyboard,1,80,80
2025-07-24,Keyboard,5,80,400
2025-01-15,Headphones,3,150,450
2025-04-02,Laptop,3,1200,3600
2025-01-20,Headphones,3,150,450
2025-08-11,Laptop,5,1200,6000
2025-08-12,Keyboard,3,80,240
2025-03-01,Headphones,5,150,750
2025-04-08,Mouse,5,40,200
2025-12-29,Keyboard,1,80,80
2025-09-24,Mouse,1,40,40
2025-07-06,Headphones,2,150,300
2025-12-07,Mouse,1,40,40
2025-06-10,Keyboard,5,80,400
2025-09-17,Laptop,3,1200,3600
2025-06-17,Keyboard,4,80,320
2025-10-11,Mouse,3,40,120
2025-08-04,Monitor,2,350,700
2025-11-12,Mouse,2,40,80
2025-07-27,Headphones,3,150,450
2025-06-05,Headphones,1,150,150
2025-08-09,Keyboard,2,80,160
2025-12-02,Headphones,5,150,750
2025-08-15,Keyboard,4,80,320
2025-09-19,Mouse,2,40,80
2025-12-04,Mouse,2,40,80
2025-09-21,Laptop,3,1200,3600
2025-02-17,Headphones,3,150,450
2025-04-26,Monitor,3,350,1050
2025-01-13,Monitor,2,350,700
2025-09-01,Laptop,2,1200,2400
2025-08-22,Headphones,1,150,150
2025-04-10,Mouse,5,40,200
2025-07-24,Mouse,4,40,160
2025-12-02,Monitor,2,350,700
2025-08-06,Laptop,1,1200,1200
2025-12-23,Monitor,2,350,700
2025-01-26,Headphones,4,150,600
2025-03-04,Headphones,2,150,300
2025-08-26,Mouse,2,40,80
2025-11-01,Headphones,5,150,750
2025-11-10,Keyboard,4,80,320
2025-10-08,Headphones,4,150,600
2025-09-01,Mouse,2,40,80
2025-05-07,Mouse,3,40,120
2025-09-06,Keyboard,5,80,400
2025-08-14,Monitor,3,350,1050
2025-05-01,Laptop,3,1200,3600
2025-06-13,Keyboard,3,80,240
2025-03-12,Headphones,1,150,150
2025-07-16,Monitor,2,350,700
2025-02-02,Monitor,2,350,700
2025-06-19,Mouse,4,40,160
2025-08-01,Headphones,4,150,600
2025-08-04,Laptop,2,1200,2400
2025-12-23,Mouse,5,40,200
2025-07-14,Laptop,5,1200,6000
2025-06-30,Mouse,1,40,40
2025-08-03,Keyboard,4,80,320
2025-11-05,Headphones,5,150,750
2025-04-23,Monitor,4,350,1400
2025-09-06,Keyboard,4,80,320
2025-06-22,Laptop,4,1200,4800
2025-08-28,Mouse,2,40,80
2025-10-01,Monitor,5,350,1750
2025-10-31,Laptop,4,1200,4800
2025-02-12,Headphones,1,150,150
2025-08-25,Mouse,2,40,80
2025-05-14,Monitor,1,350,350
2025-04-19,Mouse,3,40,120
2025-06-22,Mouse,3,40,120
2025-08-04,Mouse,3,40,120
2025-08-29,Keyboard,1,80,80
2025-01-27,Laptop,5,1200,6000
2025-11-29,Keyboard,2,80,160
2025-01-16,Laptop,1,1200,1200
2025-01-11,Monitor,2,350,700
2025-05-03,Headphones,2,150,300
2025-12-09,Monitor,4,350,1400
2025-04-22,Laptop,5,1200,6000
2025-07-08,Mouse,3,40,120
2025-11-07,Monitor,5,350,1750
2025-06-09,Laptop,2,1200,2400
2025-01-14,Laptop,5,1200,6000
2025-12-13,Keyboard,5,80,400
2025-04-12,Mouse,4,40,160
2025-12-20,Laptop,5,1200,6000
2025-12-23,Monitor,1,350,350
2025-03-03,Keyboard,5,80,400
2025-06-27,Headphones,1,150,150
2025-12-05,Headphones,4,150,600
2025-09-17,Keyboard,1,80,80
2025-08-04,Keyboard,1,80,80
2025-08-10,Mouse,1,40,40
2025-12-29,Keyboard,4,80,320
2025-04-01,Monitor,4,350,1400
2025-11-12,Headphones,3,150,450
2025-08-27,Headphones,4,150,600
2025-05-18,Mouse,5,40,200
2025-02-14,Keyboard,2,80,160
2025-05-05,Keyboard,4,80,320
2025-11-09,Mouse,5,40,200
2025-01-15,Mouse,3,40,120
2025-04-04,Mouse,3,40,120
2025-07-01,Mouse,2,40,80
2025-05-24,Keyboard,3,80,240
2025-10-12,Headphones,3,150,450
2025-04-08,Laptop,5,1200,6000
2025-07-28,Laptop,2,1200,2400
2025-05-04,Mouse,5,40,200
2025-08-18,Mouse,4,40,160
2025-05-31,Laptop,1,1200,1200
2025-12-21,Monitor,4,350,1400
2025-12-06,Monitor,3,350,1050
2025-08-31,Headphones,3,150,450
2025-06-26,Headphones,5,150,750
2025-06-19,Mouse,5,40,200
2025-05-19,Keyboard,4,80,320
2025-04-29,Keyboard,3,80,240
2025-06-11,Laptop,2,1200,2400
2025-12-20,Laptop,5,1200,6000
2025-04-21,Monitor,2,350,700
2025-10-29,Mouse,3,40,120
2025-05-25,Headphones,5,150,750
2025-06-01,Laptop,2,1200,2400
2025-04-02,Monitor,3,350,1050
2025-12-29,Keyboard,1,80,80
2025-05-21,Headphones,2,150,300
2025-10-11,Laptop,1,1200,1200
2025-11-23,Keyboard,2,80,160
2025-01-07,Mouse,1,40,40
2025-08-29,Headphones,3,150,450
2025-06-24,Mouse,4,40,160
2025-05-10,Monitor,1,350,350
2025-02-03,Mouse,1,40,40
2025-02-07,Mouse,4,40,160
2025-03-19,Headphones,1,150,150
2025-06-05,Monitor,5,350,1750
2025-03-02,Laptop,2,1200,2400
2025-11-07,Headphones,4,150,600
2025-04-26,Headphones,5,150,750
2025-08-19,Headphones,4,150,600
2025-10-29,Mouse,3,40,120
2025-10-19,Mouse,3,40,120
2025-11-09,Headphones,1,150,150
2025-11-17,Laptop,2,1200,2400
